,abs,rel-e,rel-b,rel-eb,rel2-e,rel2-b,rel2-eb
Add,0.625,0.990234375,0.984375,1.0,0.9931640625,0.990234375,0.9912109375
AddNeg,0.8876953125,0.9912109375,0.9990234375,1.0,0.9990234375,1.0,0.9951171875
Reverse,0.3818359375,0.876953125,0.732421875,0.8837890625,0.8837890625,0.6181640625,0.8564453125
Dup,0.2421875,0.87890625,0.5439453125,0.87890625,0.87890625,0.8154296875,0.87890625
SCAN-l,0.44556451612903225,0.9556451612903226,0.8170362903225806,0.9556451612903226,0.954133064516129,0.6323084677419355,0.9556451612903226
SCAN-aj,0.33009178333046024,1.0,0.183914097380047,0.9948347107438017,0.9963842975206612,0.7252960111484055,0.9747596156498617
PCFG-p,0.9957572566659263,0.9999122191011236,0.9942942415730337,0.9999122191011236,0.9999122191011236,0.9959620786516854,0.9999122191011236
PCFG-s,0.9990157361300487,0.9999017295597484,0.9983294025157232,0.9999017295597484,0.9999017295597484,0.9991155660377359,0.9999017295597484
