,small-2s,small-4s,small-6s,large-2s,large-4s,large-6s
Add,0.9990234375,1.0,1.0,0.9970703125,0.9970703125,1.0
AddNeg,1.0,0.9970703125,0.9873046875,0.9990234375,1.0,0.98828125
Reverse,0.873046875,0.82421875,0.7880859375,0.7509765625,0.876953125,0.7412109375
Dup,0.876953125,0.87890625,0.87890625,0.8779296875,0.87890625,0.8623046875
SCAN-l,0.954133064516129,0.9349798387096774,0.9546370967741935,0.9556451612903226,0.9556451612903226,0.9561491935483871
SCAN-aj,0.3508721393001966,0.7762933092669022,0.9746900826446281,0.9449896694214877,0.934400826446281,0.25881079159492304
PCFG-p,0.9973373128457016,0.9976006555423308,0.0,0.9999122191011236,0.9979517791378364,0.0
PCFG-s,0.9996053587715581,0.9996053587715581,0.0,0.9998018996520612,0.9998018996520612,0.0
