,small-4,small-6,large-2,large-4,large-6
Add,0.9794921875,0.998046875,1.0,0.998046875,0.990234375
AddNeg,0.990234375,0.9990234375,0.998046875,0.9267578125,0.923828125
Reverse,0.86328125,0.8837890625,0.75390625,0.7763671875,0.8818359375
Dup,0.87890625,0.87890625,0.87890625,0.87890625,0.87890625
SCAN-l,0.9556451612903226,0.9556451612903226,0.9556451612903226,0.9556451612903226,0.9657258064516129
SCAN-aj,0.9839876033057852,0.836468929101613,0.9780475206611571,0.9865702479338843,0.03021694214876033
PCFG-p,0.9980395600367128,0.0,0.9999122191011236,0.9980395600367128,0.0
PCFG-s,0.9998018996520612,0.0,0.9999017295597484,0.9998018996520612,0.0
