,abs-c,rel-eb-c,rel2-eb-c
Add,0.6748046875,0.98046875,0.98046875
AddNeg,0.7265625,0.998046875,0.998046875
Reverse,0.4853515625,0.8837890625,0.8837890625
Dup,0.2177734375,0.87890625,0.87890625
SCAN-l,0.4808467741935484,0.9556451612903226,0.9556451612903226
SCAN-aj,0.3754569296994485,0.9535819296994485,0.9992252066115702
PCFG-p,0.9897881555423308,0.9980395600367128,0.9980395600367128
PCFG-s,0.9978364908470297,0.9998018996520612,0.9998018996520612
